scenario,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_moe,cgr_nsd,cgr_eqv,bbi_C,bbi_C_ciL,bbi_C_ciH,bbi_C_moe,bbi_C_nsd,bbi_C_eqv,bbi_T,bbi_T_ciL,bbi_T_ciH,bbi_T_moe,bbi_T_nsd,bbi_T_eqv,gmg,gmg_ciL,gmg_ciH,gmg_moe,gmg_nsd,gmg_eqv,gmgc,gmgc_ciL,gmgc_ciH,gmgc_moe,gmgc_nsd,gmgc_eqv
diff_0mg,60,0.504,0.373,0.635,0.131,0.98,0.08,0.004,-0.347,0.355,0.351,0.945,0.0,0.012,-0.34,0.365,0.352,0.97,0.0,-0.062,-3.93,3.805,3.867,0.945,0.47,-0.062,-2.556,2.431,2.494,0.81,0.825
diff_0mg,80,0.504,0.39,0.617,0.113,0.975,0.465,0.008,-0.297,0.313,0.305,0.875,0.0,0.007,-0.299,0.314,0.306,0.935,0.0,-0.028,-3.384,3.329,3.357,0.96,0.71,-0.028,-2.19,2.135,2.162,0.815,0.89
diff_0mg,100,0.503,0.402,0.604,0.101,0.975,0.485,0.001,-0.273,0.275,0.274,0.91,0.0,0.011,-0.264,0.285,0.275,0.95,0.0,-0.043,-3.035,2.949,2.992,0.94,0.78,-0.043,-1.976,1.89,1.933,0.78,0.95
diff_0mg,120,0.503,0.411,0.595,0.092,0.955,0.62,-0.003,-0.253,0.248,0.251,0.93,0.0,0.015,-0.236,0.266,0.251,0.95,0.0,-0.033,-2.766,2.7,2.733,0.945,0.875,-0.033,-1.801,1.735,1.768,0.78,0.97
diff_0mg,140,0.502,0.417,0.588,0.085,0.98,0.745,-0.005,-0.238,0.227,0.233,0.92,0.0,0.014,-0.218,0.247,0.233,0.945,0.0,-0.054,-2.582,2.474,2.528,0.935,0.93,-0.054,-1.693,1.585,1.639,0.755,0.99
diff_0mg,160,0.503,0.423,0.583,0.08,0.97,0.84,-0.002,-0.22,0.216,0.218,0.935,0.0,0.013,-0.204,0.231,0.218,0.945,0.0,-0.037,-2.393,2.319,2.356,0.94,0.965,-0.037,-1.572,1.498,1.535,0.775,0.995
diff_0mg,180,0.503,0.428,0.578,0.075,0.96,0.9,-0.002,-0.207,0.203,0.205,0.945,0.0,0.014,-0.191,0.22,0.205,0.94,0.0,-0.013,-2.232,2.206,2.219,0.93,0.98,-0.013,-1.461,1.435,1.448,0.74,1.0
diff_0mg,200,0.502,0.43,0.573,0.071,0.965,0.96,-0.007,-0.202,0.188,0.195,0.925,0.075,0.013,-0.182,0.208,0.195,0.945,0.075,-0.043,-2.15,2.064,2.107,0.945,0.995,-0.043,-1.417,1.331,1.374,0.725,1.0
diff_0mg,240,0.502,0.437,0.567,0.065,0.955,0.985,-0.007,-0.185,0.171,0.178,0.93,0.245,0.014,-0.164,0.192,0.178,0.95,0.25,-0.03,-1.952,1.893,1.922,0.935,0.995,-0.03,-1.284,1.225,1.254,0.76,1.0
diff_0mg,280,0.502,0.442,0.562,0.06,0.965,0.985,-0.002,-0.167,0.163,0.165,0.94,0.355,0.011,-0.154,0.177,0.165,0.955,0.325,-0.017,-1.8,1.765,1.783,0.925,1.0,-0.017,-1.179,1.145,1.162,0.765,1.0
diff_0mg,320,0.502,0.446,0.558,0.056,0.945,0.995,-0.002,-0.157,0.152,0.154,0.965,0.455,0.01,-0.144,0.164,0.154,0.97,0.405,-0.027,-1.692,1.637,1.664,0.935,1.0,-0.027,-1.114,1.059,1.087,0.755,1.0
diff_0mg,360,0.502,0.449,0.555,0.053,0.95,0.995,-0.004,-0.149,0.142,0.146,0.95,0.54,0.012,-0.134,0.157,0.146,0.94,0.47,-0.01,-1.578,1.558,1.568,0.94,1.0,-0.01,-1.036,1.016,1.026,0.79,1.0
diff_0mg,400,0.502,0.452,0.552,0.05,0.965,1.0,-0.003,-0.142,0.135,0.138,0.95,0.695,0.01,-0.128,0.148,0.138,0.935,0.57,-0.013,-1.502,1.475,1.489,0.95,1.0,-0.013,-0.987,0.961,0.974,0.815,1.0
diff_2mg,60,0.551,0.418,0.679,0.13,0.91,0.09,0.105,-0.245,0.454,0.349,0.91,0.0,0.1,-0.249,0.45,0.35,0.92,0.0,1.989,-1.843,5.822,3.833,0.855,0.29,1.989,-0.519,4.497,2.508,0.615,0.615
diff_2mg,80,0.554,0.439,0.664,0.113,0.88,0.26,0.113,-0.191,0.417,0.304,0.85,0.0,0.103,-0.202,0.407,0.304,0.875,0.0,2.034,-1.302,5.37,3.336,0.81,0.4,2.034,-0.143,4.211,2.177,0.53,0.695
diff_2mg,100,0.554,0.452,0.653,0.101,0.83,0.3,0.11,-0.163,0.383,0.273,0.86,0.0,0.108,-0.165,0.381,0.273,0.88,0.0,1.985,-0.995,4.966,2.981,0.75,0.525,1.985,0.036,3.935,1.949,0.495,0.78
diff_2mg,120,0.554,0.461,0.644,0.092,0.845,0.425,0.108,-0.141,0.358,0.249,0.845,0.0,0.107,-0.143,0.356,0.249,0.865,0.0,1.99,-0.732,4.713,2.722,0.705,0.57,1.99,0.211,3.77,1.779,0.435,0.815
diff_2mg,140,0.553,0.467,0.637,0.085,0.795,0.505,0.103,-0.128,0.334,0.231,0.8,0.0,0.11,-0.121,0.341,0.231,0.81,0.0,1.965,-0.554,4.484,2.519,0.65,0.625,1.965,0.317,3.614,1.648,0.395,0.855
