scenario,trial,sample_size,cgr,cgr_ci_low,cgr_ci_high,cgr_eqv,bbi_C,bbi_C_ci_low,bbi_C_ci_high,bbi_C_eqv,bbi_T,bbi_T_ci_low,bbi_T_ci_high,bbi_T_eqv,mix,mix_ci_low,mix_ci_high,mix_eqv
ideal,149,80,0.475,0.362,0.59,True,-0.1,-0.408,0.208,False,0.0,-0.31,0.31,False,-0.259,-11.964,11.423,False
ideal,149,100,0.45,0.35,0.553,False,-0.08,-0.356,0.196,False,-0.12,-0.395,0.155,False,-0.496,-11.543,10.942,False
ideal,149,120,0.467,0.375,0.56,True,-0.067,-0.319,0.186,False,-0.067,-0.319,0.186,False,-0.385,-11.182,10.762,False
ideal,149,140,0.443,0.359,0.529,False,-0.143,-0.375,0.089,False,-0.086,-0.319,0.148,False,-0.776,-11.483,10.281,False
ideal,149,160,0.45,0.371,0.531,True,-0.175,-0.391,0.041,False,-0.025,-0.244,0.194,False,-0.869,-11.663,10.1,False
ideal,149,180,0.456,0.381,0.531,True,-0.111,-0.316,0.094,False,-0.067,-0.273,0.139,False,-0.775,-11.483,10.281,False
ideal,149,200,0.455,0.385,0.527,True,-0.1,-0.295,0.095,False,-0.08,-0.275,0.115,False,-0.891,-11.663,10.1,False
ideal,149,300,0.49,0.432,0.548,True,0.027,-0.133,0.187,True,-0.067,-0.226,0.093,False,-0.456,-11.423,10.22,False
ideal,149,400,0.488,0.438,0.538,True,-0.02,-0.159,0.119,True,-0.03,-0.169,0.109,True,-0.236,-11.363,10.822,False
ideal,149,500,0.486,0.441,0.531,True,-0.016,-0.14,0.108,True,-0.04,-0.164,0.084,True,-0.196,-11.303,10.882,False
ideal,148,80,0.562,0.447,0.673,False,0.25,-0.05,0.55,False,0.0,-0.31,0.31,False,1.229,-9.499,11.483,False
ideal,148,100,0.51,0.408,0.611,True,0.12,-0.155,0.395,False,-0.08,-0.356,0.196,False,0.524,-10.04,11.002,False
ideal,148,120,0.525,0.432,0.617,True,0.067,-0.186,0.319,False,0.033,-0.22,0.286,False,0.727,-9.679,11.002,False
ideal,148,140,0.529,0.442,0.613,True,0.029,-0.206,0.263,False,0.086,-0.148,0.319,False,0.939,-9.739,11.423,False
ideal,148,160,0.512,0.432,0.592,True,0.05,-0.169,0.269,False,0.0,-0.219,0.219,False,0.644,-9.619,11.002,False
ideal,148,180,0.522,0.447,0.597,True,0.022,-0.184,0.229,False,0.067,-0.139,0.273,False,0.424,-9.8,10.701,False
ideal,148,200,0.5,0.429,0.571,True,0.0,-0.196,0.196,True,0.0,-0.196,0.196,True,0.129,-10.1,10.401,False
ideal,148,300,0.533,0.475,0.591,True,0.107,-0.052,0.266,False,0.027,-0.133,0.187,True,0.618,-9.619,11.002,False
ideal,148,400,0.505,0.455,0.555,True,0.03,-0.109,0.169,True,-0.01,-0.149,0.129,True,0.101,-10.22,10.521,False
ideal,148,500,0.516,0.471,0.561,True,0.024,-0.1,0.148,True,0.04,-0.084,0.164,True,0.316,-10.22,10.882,False
ideal,147,80,0.512,0.398,0.626,True,0.05,-0.26,0.36,False,0.0,-0.31,0.31,False,0.382,-11.002,11.122,False
ideal,147,100,0.44,0.341,0.543,False,-0.08,-0.356,0.196,False,-0.16,-0.434,0.114,False,-0.429,-11.062,10.281,False
ideal,147,120,0.433,0.343,0.527,False,-0.1,-0.352,0.152,False,-0.167,-0.416,0.083,False,-0.427,-10.882,10.22,False
ideal,147,140,0.443,0.359,0.529,False,-0.114,-0.347,0.118,False,-0.114,-0.347,0.118,False,-0.526,-10.882,10.16,False
ideal,147,160,0.412,0.335,0.493,False,-0.175,-0.391,0.041,False,-0.175,-0.391,0.041,False,-0.922,-11.062,9.8,False
ideal,147,180,0.433,0.36,0.509,False,-0.133,-0.338,0.071,False,-0.133,-0.338,0.071,False,-0.634,-11.062,10.22,False
ideal,147,200,0.435,0.365,0.507,True,-0.16,-0.353,0.033,False,-0.1,-0.295,0.095,False,-0.581,-10.762,10.04,False
ideal,147,300,0.457,0.399,0.515,True,-0.133,-0.292,0.025,False,-0.04,-0.2,0.12,False,-0.323,-10.822,10.281,False
ideal,147,400,0.485,0.435,0.535,True,-0.09,-0.228,0.048,False,0.03,-0.109,0.169,True,-0.016,-10.521,10.641,False
ideal,147,500,0.476,0.431,0.521,True,-0.096,-0.219,0.027,False,0.0,-0.124,0.124,True,-0.18,-10.581,10.281,False
ideal,146,80,0.538,0.422,0.65,False,0.1,-0.208,0.408,False,0.05,-0.26,0.36,False,-0.017,-9.98,9.739,False
ideal,146,100,0.53,0.428,0.631,True,0.12,-0.155,0.395,False,0.0,-0.277,0.277,False,0.014,-9.679,9.439,False
ideal,146,120,0.567,0.473,0.657,False,0.167,-0.083,0.416,False,0.1,-0.152,0.352,False,0.614,-9.259,9.98,False
ideal,146,140,0.564,0.478,0.648,False,0.171,-0.059,0.402,False,0.086,-0.148,0.319,False,0.336,-9.86,9.8,False
ideal,146,160,0.556,0.476,0.635,True,0.125,-0.092,0.342,False,0.1,-0.118,0.318,False,0.459,-9.499,9.98,False
ideal,146,180,0.539,0.463,0.613,True,0.089,-0.117,0.295,False,0.067,-0.139,0.273,False,0.401,-9.679,10.461,False
ideal,146,200,0.54,0.468,0.611,True,0.1,-0.095,0.295,False,0.06,-0.136,0.256,False,0.346,-9.559,10.341,False
ideal,146,300,0.51,0.452,0.568,True,0.107,-0.052,0.266,False,-0.067,-0.226,0.093,False,-0.121,-10.16,9.92,False
ideal,146,400,0.528,0.477,0.577,True,0.14,0.003,0.277,False,-0.03,-0.169,0.109,True,0.051,-10.281,10.22,False
ideal,146,500,0.536,0.491,0.58,True,0.128,0.005,0.251,False,0.016,-0.108,0.14,True,0.226,-10.1,10.461,False
ideal,145,80,0.45,0.338,0.565,False,0.05,-0.26,0.36,False,-0.25,-0.55,0.05,False,-1.352,-11.784,8.657,False
ideal,145,100,0.46,0.36,0.563,False,0.04,-0.237,0.317,False,-0.2,-0.472,0.072,False,-1.026,-11.543,10.162,False
ideal,145,120,0.467,0.375,0.56,True,0.067,-0.186,0.319,False,-0.2,-0.448,0.048,False,-0.86,-11.543,9.92,False
ideal,145,140,0.493,0.407,0.579,True,0.114,-0.118,0.347,False,-0.143,-0.375,0.089,False,-0.562,-11.182,9.98,False
ideal,145,160,0.481,0.402,0.562,True,0.125,-0.092,0.342,False,-0.2,-0.415,0.015,False,-0.588,-10.882,9.679,False
ideal,145,180,0.467,0.392,0.542,True,0.089,-0.117,0.295,False,-0.222,-0.424,-0.021,False,-0.746,-11.122,9.499,False
ideal,145,200,0.45,0.38,0.522,True,0.02,-0.176,0.216,False,-0.22,-0.411,-0.029,False,-0.87,-11.423,9.379,False
ideal,145,300,0.507,0.449,0.565,True,0.08,-0.08,0.24,False,-0.053,-0.213,0.106,False,0.009,-10.581,10.581,False
ideal,145,400,0.502,0.452,0.553,True,0.13,-0.007,0.267,False,-0.12,-0.258,0.018,False,-0.019,-10.762,10.701,False
ideal,145,500,0.508,0.463,0.553,True,0.104,-0.019,0.227,False,-0.072,-0.196,0.052,True,-0.11,-10.942,10.581,False
ideal,144,80,0.488,0.374,0.602,True,-0.25,-0.55,0.05,False,0.2,-0.104,0.504,False,0.02,-10.641,10.581,False
ideal,144,100,0.48,0.379,0.582,True,-0.24,-0.509,0.029,False,0.16,-0.114,0.434,False,-0.208,-10.22,9.98,False
ideal,144,120,0.492,0.399,0.584,True,-0.233,-0.479,0.013,False,0.2,-0.048,0.448,False,-0.228,-10.701,9.86,False
ideal,144,140,0.486,0.4,0.572,True,-0.171,-0.402,0.059,False,0.114,-0.118,0.347,False,-0.156,-10.641,10.1,False
