scenario,trial,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_moe
cgr050,29,100,0.49,0.389,0.592,0.102
cgr050,29,140,0.486,0.4,0.572,0.086
cgr050,29,180,0.528,0.452,0.602,0.075
cgr050,29,220,0.505,0.437,0.572,0.068
cgr050,29,260,0.512,0.449,0.574,0.062
cgr050,29,300,0.51,0.452,0.568,0.058
cgr050,28,100,0.59,0.487,0.687,0.1
cgr050,28,140,0.579,0.492,0.661,0.085
cgr050,28,180,0.528,0.452,0.602,0.075
cgr050,28,220,0.541,0.473,0.608,0.068
cgr050,28,260,0.546,0.483,0.608,0.062
cgr050,28,300,0.546,0.487,0.604,0.058
cgr050,27,100,0.49,0.389,0.592,0.102
cgr050,27,140,0.471,0.387,0.558,0.085
cgr050,27,180,0.494,0.419,0.57,0.075
cgr050,27,220,0.541,0.473,0.608,0.068
cgr050,27,260,0.531,0.468,0.593,0.062
cgr050,27,300,0.545,0.487,0.603,0.058
cgr050,26,100,0.54,0.437,0.64,0.101
cgr050,26,140,0.564,0.478,0.648,0.085
cgr050,26,180,0.522,0.447,0.597,0.075
cgr050,26,220,0.523,0.455,0.59,0.068
cgr050,26,260,0.535,0.472,0.596,0.062
cgr050,26,300,0.536,0.477,0.594,0.059
cgr050,25,100,0.52,0.418,0.621,0.102
cgr050,25,140,0.514,0.428,0.6,0.086
cgr050,25,180,0.483,0.408,0.559,0.075
cgr050,25,220,0.486,0.419,0.554,0.068
cgr050,25,260,0.488,0.426,0.551,0.062
cgr050,25,300,0.477,0.419,0.535,0.058
cgr050,24,100,0.59,0.487,0.687,0.1
cgr050,24,140,0.6,0.514,0.682,0.084
cgr050,24,180,0.583,0.508,0.656,0.074
cgr050,24,220,0.586,0.518,0.652,0.067
cgr050,24,260,0.562,0.499,0.623,0.062
cgr050,24,300,0.546,0.487,0.604,0.058
cgr050,23,100,0.45,0.35,0.553,0.101
cgr050,23,140,0.486,0.4,0.572,0.086
cgr050,23,180,0.483,0.408,0.559,0.075
cgr050,23,220,0.45,0.383,0.518,0.068
cgr050,23,260,0.481,0.419,0.543,0.062
cgr050,23,300,0.479,0.42,0.539,0.059
cgr050,22,100,0.42,0.322,0.523,0.1
cgr050,22,140,0.464,0.38,0.55,0.085
cgr050,22,180,0.511,0.436,0.586,0.075
cgr050,22,220,0.514,0.446,0.581,0.068
cgr050,22,260,0.519,0.457,0.581,0.062
cgr050,22,300,0.519,0.46,0.579,0.059
cgr050,21,100,0.5,0.398,0.602,0.102
cgr050,21,140,0.5,0.414,0.586,0.086
cgr050,21,180,0.5,0.425,0.575,0.075
cgr050,21,220,0.5,0.432,0.568,0.068
cgr050,21,260,0.488,0.426,0.551,0.062
cgr050,21,300,0.5,0.441,0.559,0.059
cgr050,20,100,0.47,0.369,0.572,0.102
cgr050,20,140,0.493,0.407,0.579,0.086
cgr050,20,180,0.511,0.436,0.586,0.075
cgr050,20,220,0.523,0.455,0.59,0.068
cgr050,20,260,0.515,0.453,0.578,0.062
cgr050,20,300,0.517,0.458,0.576,0.059
cgr050,19,100,0.53,0.428,0.631,0.102
cgr050,19,140,0.5,0.414,0.586,0.086
cgr050,19,180,0.472,0.398,0.548,0.075
cgr050,19,220,0.45,0.383,0.518,0.068
cgr050,19,260,0.45,0.388,0.513,0.062
cgr050,19,300,0.456,0.399,0.515,0.058
cgr050,18,100,0.49,0.389,0.592,0.102
cgr050,18,140,0.507,0.421,0.593,0.086
cgr050,18,180,0.483,0.408,0.559,0.075
cgr050,18,220,0.468,0.401,0.536,0.068
cgr050,18,260,0.469,0.407,0.532,0.062
cgr050,18,300,0.46,0.402,0.518,0.058
cgr050,17,100,0.59,0.487,0.687,0.1
cgr050,17,140,0.557,0.471,0.641,0.085
cgr050,17,180,0.561,0.485,0.635,0.075
cgr050,17,220,0.55,0.482,0.617,0.068
cgr050,17,260,0.542,0.48,0.604,0.062
cgr050,17,300,0.524,0.465,0.582,0.059
cgr050,16,100,0.53,0.428,0.631,0.102
cgr050,16,140,0.514,0.428,0.6,0.086
cgr050,16,180,0.511,0.436,0.586,0.075
cgr050,16,220,0.5,0.432,0.568,0.068
cgr050,16,260,0.512,0.449,0.574,0.062
cgr050,16,300,0.505,0.446,0.564,0.059
cgr050,15,100,0.54,0.437,0.64,0.101
cgr050,15,140,0.5,0.414,0.586,0.086
cgr050,15,180,0.483,0.408,0.559,0.075
cgr050,15,220,0.486,0.419,0.554,0.068
cgr050,15,260,0.488,0.426,0.551,0.062
cgr050,15,300,0.49,0.432,0.548,0.058
cgr050,14,100,0.46,0.36,0.563,0.101
cgr050,14,140,0.429,0.345,0.515,0.085
cgr050,14,180,0.411,0.338,0.487,0.074
cgr050,14,220,0.432,0.365,0.5,0.067
cgr050,14,260,0.469,0.407,0.532,0.062
cgr050,14,300,0.473,0.414,0.532,0.059
cgr050,13,100,0.56,0.457,0.659,0.101
cgr050,13,140,0.557,0.471,0.641,0.085
cgr050,13,180,0.539,0.463,0.613,0.075
cgr050,13,220,0.527,0.459,0.595,0.068
cgr050,13,260,0.512,0.449,0.574,0.062
cgr050,13,300,0.515,0.457,0.573,0.058
cgr050,12,100,0.46,0.36,0.563,0.101
cgr050,12,140,0.464,0.38,0.55,0.085
cgr050,12,180,0.5,0.425,0.575,0.075
cgr050,12,220,0.509,0.441,0.577,0.068
cgr050,12,260,0.5,0.438,0.562,0.062
cgr050,12,300,0.51,0.452,0.568,0.058
cgr050,11,100,0.47,0.369,0.572,0.102
cgr050,11,140,0.507,0.421,0.593,0.086
cgr050,11,180,0.517,0.441,0.592,0.075
cgr050,11,220,0.518,0.45,0.586,0.068
cgr050,11,260,0.512,0.449,0.574,0.062
cgr050,11,300,0.51,0.452,0.568,0.058
cgr050,10,100,0.54,0.437,0.64,0.101
cgr050,10,140,0.521,0.435,0.607,0.086
cgr050,10,180,0.478,0.403,0.553,0.075
cgr050,10,220,0.482,0.414,0.55,0.068
cgr050,10,260,0.473,0.411,0.536,0.062
cgr050,10,300,0.473,0.415,0.532,0.059
cgr050,9,100,0.56,0.457,0.659,0.101
cgr050,9,140,0.486,0.4,0.572,0.086
cgr050,9,180,0.467,0.392,0.542,0.075
cgr050,9,220,0.491,0.423,0.559,0.068
cgr050,9,260,0.488,0.426,0.551,0.062
cgr050,9,300,0.479,0.42,0.539,0.06
cgr050,8,100,0.5,0.398,0.602,0.102
cgr050,8,140,0.507,0.421,0.593,0.086
cgr050,8,180,0.5,0.425,0.575,0.075
cgr050,8,220,0.486,0.419,0.554,0.068
cgr050,8,260,0.485,0.422,0.547,0.062
cgr050,8,300,0.487,0.429,0.545,0.058
cgr050,7,100,0.51,0.408,0.611,0.102
cgr050,7,140,0.507,0.421,0.593,0.086
cgr050,7,180,0.511,0.436,0.586,0.075
cgr050,7,220,0.523,0.455,0.59,0.068
cgr050,7,260,0.523,0.46,0.585,0.062
cgr050,7,300,0.515,0.457,0.574,0.058
cgr050,6,100,0.47,0.369,0.572,0.102
cgr050,6,140,0.486,0.4,0.572,0.086
cgr050,6,180,0.444,0.371,0.52,0.075
cgr050,6,220,0.468,0.401,0.536,0.068
cgr050,6,260,0.469,0.407,0.532,0.062
cgr050,6,300,0.471,0.413,0.53,0.058
cgr050,5,100,0.55,0.447,0.65,0.101
cgr050,5,140,0.507,0.421,0.593,0.086
cgr050,5,180,0.494,0.419,0.57,0.075
cgr050,5,220,0.486,0.419,0.554,0.068
cgr050,5,260,0.485,0.422,0.547,0.062
cgr050,5,300,0.485,0.426,0.543,0.058
cgr050,4,100,0.45,0.35,0.553,0.101
cgr050,4,140,0.436,0.352,0.522,0.085
cgr050,4,180,0.444,0.371,0.52,0.075
cgr050,4,220,0.45,0.383,0.518,0.068
cgr050,4,260,0.462,0.4,0.524,0.062
cgr050,4,300,0.469,0.41,0.528,0.059
cgr050,3,100,0.49,0.389,0.592,0.102
cgr050,3,140,0.464,0.38,0.55,0.085
cgr050,3,180,0.467,0.392,0.542,0.075
cgr050,3,220,0.468,0.401,0.536,0.068
cgr050,3,260,0.473,0.411,0.536,0.062
cgr050,3,300,0.485,0.427,0.543,0.058
cgr050,2,100,0.47,0.369,0.572,0.102
cgr050,2,140,0.486,0.4,0.572,0.086
cgr050,2,180,0.489,0.414,0.564,0.075
cgr050,2,220,0.486,0.419,0.554,0.068
cgr050,2,260,0.492,0.43,0.555,0.062
cgr050,2,300,0.488,0.428,0.547,0.06
cgr050,1,100,0.46,0.36,0.563,0.101
cgr050,1,140,0.471,0.387,0.558,0.085
cgr050,1,180,0.483,0.408,0.559,0.075
cgr050,1,220,0.482,0.414,0.55,0.068
cgr050,1,260,0.481,0.419,0.543,0.062
cgr050,1,300,0.507,0.448,0.566,0.059
cgr050,0,100,0.53,0.428,0.631,0.102
cgr050,0,140,0.529,0.442,0.613,0.085
cgr050,0,180,0.544,0.469,0.619,0.075
cgr050,0,220,0.532,0.464,0.599,0.068
cgr050,0,260,0.519,0.457,0.581,0.062
cgr050,0,300,0.503,0.445,0.562,0.058
