scenario,trial,nnumL,nnumH
cgr050,29,300,
cgr050,28,300,
cgr050,27,300,
cgr050,26,300,
cgr050,25,300,
cgr050,24,300,140.0
cgr050,23,300,
cgr050,22,300,
cgr050,21,300,
cgr050,20,300,
cgr050,19,300,
cgr050,18,300,
cgr050,17,300,
cgr050,16,300,
cgr050,15,300,
cgr050,14,300,180.0
cgr050,13,300,
cgr050,12,300,
cgr050,11,300,
cgr050,10,300,
cgr050,9,300,
cgr050,8,300,
cgr050,7,300,
cgr050,6,300,
cgr050,5,300,
cgr050,4,300,
cgr050,3,300,
cgr050,2,300,
cgr050,1,300,
cgr050,0,300,
cgr060,29,220,260.0
cgr060,28,100,140.0
cgr060,27,100,140.0
cgr060,26,140,180.0
cgr060,25,0,100.0
cgr060,24,180,220.0
cgr060,23,0,100.0
cgr060,22,100,140.0
cgr060,21,180,220.0
cgr060,20,180,220.0
cgr060,19,100,140.0
cgr060,18,0,100.0
cgr060,17,100,140.0
cgr060,16,260,300.0
cgr060,15,180,220.0
cgr060,14,100,140.0
cgr060,13,100,140.0
cgr060,12,0,100.0
cgr060,11,0,100.0
cgr060,10,0,100.0
cgr060,9,300,
cgr060,8,100,140.0
cgr060,7,140,180.0
cgr060,6,300,140.0
cgr060,5,0,100.0
cgr060,4,0,100.0
cgr060,3,0,100.0
cgr060,2,0,100.0
cgr060,1,180,220.0
cgr060,0,0,100.0
cgr090,29,0,100.0
cgr090,28,0,100.0
cgr090,27,0,100.0
cgr090,26,0,100.0
cgr090,25,0,100.0
cgr090,24,0,100.0
cgr090,23,0,100.0
cgr090,22,0,100.0
cgr090,21,0,100.0
cgr090,20,0,100.0
cgr090,19,0,100.0
cgr090,18,0,100.0
cgr090,17,0,100.0
cgr090,16,0,100.0
cgr090,15,0,100.0
cgr090,14,0,100.0
cgr090,13,0,100.0
cgr090,12,0,100.0
cgr090,11,0,100.0
cgr090,10,0,100.0
cgr090,9,0,100.0
cgr090,8,0,100.0
cgr090,7,0,100.0
cgr090,6,0,100.0
cgr090,5,0,100.0
cgr090,4,0,100.0
cgr090,3,0,100.0
cgr090,2,0,100.0
cgr090,1,0,100.0
cgr090,0,0,100.0
