scenario,trial,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_moe
cgr050,29,10,0.5,0.187,0.813,0.313
cgr050,29,20,0.5,0.272,0.728,0.228
cgr050,29,30,0.5,0.313,0.687,0.187
cgr050,29,40,0.525,0.361,0.685,0.162
cgr050,29,50,0.48,0.337,0.626,0.145
cgr050,29,60,0.483,0.352,0.616,0.132
cgr050,29,70,0.486,0.364,0.608,0.122
cgr050,29,80,0.488,0.374,0.602,0.114
cgr050,29,90,0.478,0.371,0.586,0.107
cgr050,29,100,0.49,0.389,0.592,0.102
cgr050,29,110,0.482,0.386,0.579,0.097
cgr050,29,120,0.483,0.391,0.576,0.093
cgr050,29,130,0.477,0.389,0.566,0.089
cgr050,29,140,0.486,0.4,0.572,0.086
cgr050,29,150,0.5,0.417,0.583,0.083
cgr050,29,160,0.506,0.426,0.586,0.08
cgr050,29,170,0.512,0.434,0.589,0.077
cgr050,29,180,0.528,0.452,0.602,0.075
cgr050,29,190,0.511,0.437,0.584,0.073
cgr050,29,200,0.5,0.429,0.571,0.071
cgr050,29,210,0.495,0.426,0.565,0.07
cgr050,29,220,0.505,0.437,0.572,0.068
cgr050,29,230,0.504,0.438,0.571,0.066
cgr050,29,240,0.508,0.443,0.573,0.065
cgr050,29,250,0.512,0.448,0.575,0.064
cgr050,29,260,0.512,0.449,0.574,0.062
cgr050,29,270,0.519,0.457,0.579,0.061
cgr050,29,280,0.514,0.454,0.574,0.06
cgr050,29,290,0.51,0.451,0.569,0.059
cgr050,29,300,0.51,0.452,0.568,0.058
cgr050,28,10,0.4,0.122,0.738,0.308
cgr050,28,20,0.55,0.315,0.769,0.227
cgr050,28,30,0.5,0.313,0.687,0.187
cgr050,28,40,0.525,0.361,0.685,0.162
cgr050,28,50,0.58,0.432,0.718,0.143
cgr050,28,60,0.583,0.449,0.709,0.13
cgr050,28,70,0.557,0.433,0.676,0.121
cgr050,28,80,0.588,0.472,0.696,0.112
cgr050,28,90,0.589,0.48,0.692,0.106
cgr050,28,100,0.59,0.487,0.687,0.1
cgr050,28,110,0.591,0.493,0.684,0.095
cgr050,28,120,0.575,0.481,0.665,0.092
cgr050,28,130,0.569,0.48,0.656,0.088
cgr050,28,140,0.579,0.492,0.661,0.085
cgr050,28,150,0.56,0.477,0.641,0.082
cgr050,28,160,0.544,0.463,0.623,0.08
cgr050,28,170,0.535,0.457,0.612,0.077
cgr050,28,180,0.528,0.452,0.602,0.075
cgr050,28,190,0.526,0.453,0.599,0.073
cgr050,28,200,0.525,0.453,0.596,0.071
cgr050,28,210,0.533,0.463,0.602,0.069
cgr050,28,220,0.541,0.473,0.608,0.068
cgr050,28,230,0.543,0.477,0.609,0.066
cgr050,28,240,0.546,0.481,0.61,0.065
cgr050,28,250,0.548,0.484,0.611,0.063
cgr050,28,260,0.546,0.483,0.608,0.062
cgr050,28,270,0.541,0.479,0.601,0.061
cgr050,28,280,0.543,0.483,0.602,0.06
cgr050,28,290,0.552,0.493,0.61,0.059
cgr050,28,300,0.546,0.487,0.604,0.058
cgr050,27,10,0.4,0.122,0.738,0.308
cgr050,27,20,0.5,0.272,0.728,0.228
cgr050,27,30,0.533,0.343,0.717,0.187
cgr050,27,40,0.525,0.361,0.685,0.162
cgr050,27,50,0.54,0.393,0.682,0.144
cgr050,27,60,0.467,0.337,0.6,0.132
cgr050,27,70,0.457,0.337,0.581,0.122
cgr050,27,80,0.462,0.35,0.578,0.114
cgr050,27,90,0.489,0.382,0.597,0.107
cgr050,27,100,0.49,0.389,0.592,0.102
cgr050,27,110,0.5,0.403,0.597,0.097
cgr050,27,120,0.492,0.399,0.584,0.093
cgr050,27,130,0.469,0.381,0.559,0.089
cgr050,27,140,0.471,0.387,0.558,0.085
cgr050,27,150,0.48,0.398,0.563,0.083
cgr050,27,160,0.475,0.396,0.555,0.08
cgr050,27,170,0.488,0.411,0.566,0.077
cgr050,27,180,0.494,0.419,0.57,0.075
cgr050,27,190,0.516,0.442,0.589,0.073
cgr050,27,200,0.53,0.458,0.601,0.071
cgr050,27,210,0.543,0.473,0.612,0.069
cgr050,27,220,0.541,0.473,0.608,0.068
cgr050,27,230,0.543,0.477,0.609,0.066
cgr050,27,240,0.533,0.468,0.598,0.065
cgr050,27,250,0.532,0.468,0.595,0.064
cgr050,27,260,0.531,0.468,0.593,0.062
cgr050,27,270,0.548,0.487,0.609,0.061
cgr050,27,280,0.546,0.486,0.606,0.06
cgr050,27,290,0.545,0.486,0.603,0.059
cgr050,27,300,0.545,0.487,0.603,0.058
cgr050,26,10,0.5,0.187,0.813,0.313
cgr050,26,20,0.5,0.272,0.728,0.228
cgr050,26,30,0.567,0.374,0.745,0.186
cgr050,26,40,0.575,0.409,0.73,0.16
cgr050,26,50,0.6,0.452,0.736,0.142
cgr050,26,60,0.567,0.432,0.694,0.131
cgr050,26,70,0.543,0.419,0.663,0.122
cgr050,26,80,0.55,0.435,0.662,0.113
cgr050,26,90,0.533,0.425,0.639,0.107
cgr050,26,100,0.54,0.437,0.64,0.101
cgr050,26,110,0.536,0.439,0.632,0.097
cgr050,26,120,0.542,0.448,0.633,0.092
cgr050,26,130,0.538,0.449,0.626,0.089
cgr050,26,140,0.564,0.478,0.648,0.085
cgr050,26,150,0.547,0.463,0.628,0.082
cgr050,26,160,0.538,0.457,0.617,0.08
cgr050,26,170,0.535,0.457,0.612,0.077
cgr050,26,180,0.522,0.447,0.597,0.075
cgr050,26,190,0.511,0.437,0.584,0.073
cgr050,26,200,0.505,0.434,0.576,0.071
cgr050,26,210,0.514,0.445,0.584,0.07
cgr050,26,220,0.523,0.455,0.59,0.068
cgr050,26,230,0.53,0.464,0.596,0.066
cgr050,26,240,0.529,0.464,0.594,0.065
cgr050,26,250,0.528,0.464,0.591,0.064
cgr050,26,260,0.535,0.472,0.596,0.062
cgr050,26,270,0.533,0.472,0.594,0.061
cgr050,26,280,0.536,0.475,0.595,0.06
cgr050,26,290,0.538,0.479,0.597,0.059
cgr050,26,300,0.536,0.477,0.594,0.059
cgr050,25,10,0.7,0.348,0.933,0.293
cgr050,25,20,0.8,0.563,0.943,0.19
cgr050,25,30,0.7,0.506,0.853,0.173
cgr050,25,40,0.65,0.483,0.794,0.155
cgr050,25,50,0.6,0.452,0.736,0.142
cgr050,25,60,0.567,0.432,0.694,0.131
cgr050,25,70,0.586,0.462,0.702,0.12
cgr050,25,80,0.55,0.435,0.662,0.113
cgr050,25,90,0.544,0.436,0.65,0.107
cgr050,25,100,0.52,0.418,0.621,0.102
cgr050,25,110,0.5,0.403,0.597,0.097
cgr050,25,120,0.517,0.424,0.609,0.093
cgr050,25,130,0.508,0.419,0.596,0.089
cgr050,25,140,0.514,0.428,0.6,0.086
cgr050,25,150,0.5,0.417,0.583,0.083
cgr050,25,160,0.488,0.408,0.568,0.08
cgr050,25,170,0.476,0.399,0.554,0.077
cgr050,25,180,0.483,0.408,0.559,0.075
cgr050,25,190,0.484,0.411,0.558,0.073
cgr050,25,200,0.49,0.419,0.561,0.071
cgr050,25,210,0.49,0.421,0.56,0.07
cgr050,25,220,0.486,0.419,0.554,0.068
cgr050,25,230,0.483,0.416,0.549,0.066
cgr050,25,240,0.483,0.419,0.549,0.065
cgr050,25,250,0.476,0.413,0.54,0.064
cgr050,25,260,0.488,0.426,0.551,0.062
cgr050,25,270,0.478,0.417,0.539,0.061
cgr050,25,280,0.482,0.422,0.542,0.06
cgr050,25,290,0.476,0.417,0.535,0.059
cgr050,25,300,0.477,0.419,0.535,0.058
cgr050,24,10,0.4,0.122,0.738,0.308
cgr050,24,20,0.45,0.231,0.685,0.227
cgr050,24,30,0.533,0.343,0.717,0.187
cgr050,24,40,0.5,0.338,0.662,0.162
cgr050,24,50,0.48,0.337,0.626,0.145
cgr050,24,60,0.533,0.4,0.663,0.132
cgr050,24,70,0.557,0.433,0.676,0.121
cgr050,24,80,0.55,0.435,0.662,0.113
cgr050,24,90,0.556,0.447,0.66,0.107
cgr050,24,100,0.59,0.487,0.687,0.1
cgr050,24,110,0.591,0.493,0.684,0.095
cgr050,24,120,0.6,0.507,0.688,0.091
cgr050,24,130,0.608,0.518,0.692,0.087
cgr050,24,140,0.6,0.514,0.682,0.084
cgr050,24,150,0.607,0.524,0.685,0.081
cgr050,24,160,0.6,0.52,0.677,0.078
cgr050,24,170,0.588,0.51,0.663,0.076
cgr050,24,180,0.583,0.508,0.656,0.074
cgr050,24,190,0.589,0.516,0.66,0.072
cgr050,24,200,0.595,0.523,0.664,0.07
cgr050,24,210,0.595,0.526,0.662,0.068
cgr050,24,220,0.586,0.518,0.652,0.067
cgr050,24,230,0.578,0.512,0.643,0.066
cgr050,24,240,0.571,0.506,0.634,0.064
cgr050,24,250,0.568,0.504,0.63,0.063
cgr050,24,260,0.562,0.499,0.623,0.062
cgr050,24,270,0.552,0.49,0.612,0.061
cgr050,24,280,0.55,0.49,0.609,0.06
cgr050,24,290,0.545,0.486,0.604,0.059
cgr050,24,300,0.546,0.487,0.604,0.058
cgr050,23,10,0.3,0.067,0.652,0.293
cgr050,23,20,0.4,0.191,0.639,0.224
cgr050,23,30,0.4,0.227,0.594,0.184
cgr050,23,40,0.425,0.27,0.591,0.16
cgr050,23,50,0.42,0.282,0.568,0.143
cgr050,23,60,0.45,0.321,0.584,0.131
cgr050,23,70,0.457,0.337,0.581,0.122
cgr050,23,80,0.412,0.304,0.528,0.112
cgr050,23,90,0.456,0.35,0.564,0.107
cgr050,23,100,0.45,0.35,0.553,0.101
cgr050,23,110,0.464,0.368,0.561,0.097
cgr050,23,120,0.458,0.367,0.552,0.092
cgr050,23,130,0.477,0.389,0.566,0.089
cgr050,23,140,0.486,0.4,0.572,0.086
cgr050,23,150,0.48,0.398,0.563,0.083
cgr050,23,160,0.488,0.408,0.568,0.08
cgr050,23,170,0.476,0.399,0.554,0.077
cgr050,23,180,0.483,0.408,0.559,0.075
cgr050,23,190,0.468,0.396,0.542,0.073
cgr050,23,200,0.455,0.385,0.527,0.071
cgr050,23,210,0.443,0.375,0.513,0.069
cgr050,23,220,0.45,0.383,0.518,0.068
cgr050,23,230,0.448,0.382,0.515,0.066
cgr050,23,240,0.462,0.398,0.528,0.065
cgr050,23,250,0.468,0.405,0.532,0.064
cgr050,23,260,0.481,0.419,0.543,0.062
cgr050,23,270,0.474,0.413,0.535,0.061
cgr050,23,280,0.471,0.411,0.532,0.06
cgr050,23,290,0.473,0.414,0.533,0.06
cgr050,23,300,0.479,0.42,0.539,0.059
cgr050,22,10,0.4,0.122,0.738,0.308
cgr050,22,20,0.4,0.191,0.639,0.224
cgr050,22,30,0.433,0.255,0.626,0.186
cgr050,22,40,0.45,0.293,0.615,0.161
cgr050,22,50,0.38,0.247,0.528,0.141
cgr050,22,60,0.417,0.291,0.551,0.13
cgr050,22,70,0.4,0.285,0.524,0.12
cgr050,22,80,0.425,0.315,0.541,0.113
cgr050,22,90,0.411,0.308,0.52,0.106
cgr050,22,100,0.42,0.322,0.523,0.1
cgr050,22,110,0.436,0.342,0.534,0.096
cgr050,22,120,0.425,0.335,0.519,0.092
cgr050,22,130,0.446,0.359,0.536,0.088
cgr050,22,140,0.464,0.38,0.55,0.085
cgr050,22,150,0.487,0.404,0.57,0.083
cgr050,22,160,0.488,0.408,0.568,0.08
cgr050,22,170,0.512,0.434,0.589,0.077
cgr050,22,180,0.511,0.436,0.586,0.075
cgr050,22,190,0.511,0.437,0.584,0.073
cgr050,22,200,0.515,0.443,0.586,0.071
cgr050,22,210,0.519,0.449,0.588,0.07
cgr050,22,220,0.514,0.446,0.581,0.068
cgr050,22,230,0.509,0.442,0.575,0.066
cgr050,22,240,0.508,0.443,0.573,0.065
cgr050,22,250,0.508,0.444,0.572,0.064
cgr050,22,260,0.519,0.457,0.581,0.062
cgr050,22,270,0.522,0.461,0.583,0.061
cgr050,22,280,0.524,0.463,0.584,0.061
cgr050,22,290,0.525,0.465,0.585,0.06
cgr050,22,300,0.519,0.46,0.579,0.059
cgr050,21,10,0.4,0.122,0.738,0.308
