scenario,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_moe,cgr_nsd,cgr_eqv
cgr050,100,0.507,0.406,0.608,0.101,1.0,0.5
cgr050,140,0.503,0.417,0.589,0.086,0.967,0.767
cgr050,180,0.498,0.423,0.573,0.075,0.933,0.933
cgr050,220,0.499,0.431,0.566,0.068,0.933,0.967
cgr050,260,0.499,0.437,0.562,0.062,1.0,1.0
cgr050,300,0.499,0.441,0.558,0.059,1.0,1.0
cgr060,100,0.599,0.496,0.695,0.1,0.633,0.067
cgr060,140,0.597,0.511,0.679,0.084,0.333,0.1
cgr060,180,0.599,0.524,0.672,0.074,0.267,0.133
cgr060,220,0.605,0.537,0.67,0.066,0.1,0.2
cgr060,260,0.605,0.543,0.665,0.061,0.1,0.233
cgr060,300,0.603,0.545,0.659,0.057,0.067,0.233
cgr090,100,0.9,0.825,0.95,0.063,0.0,0.0
cgr090,140,0.898,0.836,0.942,0.053,0.0,0.0
cgr090,180,0.895,0.841,0.935,0.047,0.0,0.0
cgr090,220,0.898,0.851,0.934,0.042,0.0,0.0
cgr090,260,0.899,0.856,0.933,0.038,0.0,0.0
cgr090,300,0.897,0.857,0.93,0.036,0.0,0.0
