scenario,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_moe,cgr_nsd,cgr_eqv,bbi_C,bbi_C_ciL,bbi_C_ciH,bbi_C_moe,bbi_C_nsd,bbi_C_eqv,bbi_T,bbi_T_ciL,bbi_T_ciH,bbi_T_moe,bbi_T_nsd,bbi_T_eqv,gmg,gmg_ciL,gmg_ciH,gmg_moe,gmg_nsd,gmg_eqv,gmgc,gmgc_ciL,gmgc_ciH,gmgc_moe,gmgc_nsd,gmgc_eqv
tmp,160,0.675,0.597,0.747,0.075,0.0,0.0,0.1,-0.118,0.318,0.218,1.0,0.0,0.025,-0.194,0.244,0.219,1.0,0.0,0.98,-1.769,3.729,2.749,1.0,1.0,0.98,0.664,1.296,0.316,0.0,1.0
tmp,80,0.7,0.587,0.797,0.105,0.0,0.0,0.15,-0.156,0.456,0.306,1.0,0.0,0.1,-0.208,0.408,0.308,1.0,0.0,1.682,-1.763,5.128,3.446,1.0,0.0,1.682,1.235,2.13,0.447,0.0,1.0
tmp,100,0.71,0.611,0.796,0.093,0.0,0.0,0.08,-0.196,0.356,0.276,1.0,0.0,0.04,-0.237,0.317,0.277,1.0,0.0,0.648,-2.628,3.924,3.276,1.0,1.0,0.648,0.248,1.048,0.4,0.0,1.0
tmp,120,0.692,0.601,0.773,0.086,0.0,0.0,0.067,-0.186,0.319,0.252,1.0,0.0,0.0,-0.253,0.253,0.253,1.0,0.0,0.152,-2.87,3.174,3.022,1.0,1.0,0.152,-0.213,0.517,0.365,1.0,1.0
tmp,140,0.686,0.602,0.761,0.08,0.0,0.0,0.086,-0.148,0.319,0.233,1.0,0.0,0.029,-0.206,0.263,0.234,1.0,0.0,0.803,-2.128,3.734,2.931,1.0,1.0,0.803,0.465,1.141,0.338,0.0,1.0
tmp,180,0.672,0.598,0.74,0.071,0.0,0.0,0.133,-0.071,0.338,0.205,1.0,0.0,-0.044,-0.251,0.162,0.207,1.0,0.0,0.663,-1.892,3.219,2.556,1.0,1.0,0.663,0.365,0.961,0.298,0.0,1.0
tmp,200,0.7,0.631,0.763,0.066,0.0,0.0,0.08,-0.115,0.275,0.195,1.0,0.0,-0.04,-0.236,0.156,0.196,1.0,0.0,-0.113,-2.497,2.271,2.384,1.0,1.0,-0.113,-0.396,0.17,0.283,1.0,1.0
tmp,240,0.708,0.646,0.765,0.06,0.0,0.0,0.05,-0.129,0.229,0.179,1.0,0.0,0.0,-0.179,0.179,0.179,1.0,1.0,-0.165,-2.326,1.996,2.161,1.0,1.0,-0.165,-0.423,0.093,0.258,1.0,1.0
tmp,280,0.721,0.665,0.773,0.054,0.0,0.0,0.057,-0.108,0.223,0.166,1.0,0.0,-0.029,-0.194,0.137,0.166,1.0,1.0,0.136,-1.852,2.124,1.988,1.0,1.0,0.136,-0.103,0.375,0.239,1.0,1.0
tmp,320,0.731,0.679,0.779,0.05,0.0,0.0,0.025,-0.13,0.18,0.155,1.0,1.0,-0.038,-0.192,0.117,0.154,1.0,1.0,-0.151,-2.014,1.712,1.863,1.0,1.0,-0.151,-0.375,0.072,0.224,1.0,1.0
tmp,400,0.728,0.681,0.771,0.045,0.0,0.0,0.06,-0.078,0.198,0.138,1.0,1.0,-0.03,-0.169,0.109,0.139,1.0,1.0,-0.015,-1.643,1.612,1.628,1.0,1.0,-0.015,-0.215,0.184,0.2,1.0,1.0
