scenario,trial,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_moe,cgr_eqv,cgr_nsd,gmg,gmg_ciL,gmg_ciH,gmg_moe,gmg_eqv,gmg_nsd
tmp,4,20,0.7,0.457,0.881,0.212,False,True,0.55,-6.839,7.939,7.389,False,True
tmp,4,40,0.75,0.588,0.873,0.143,False,False,1.095,-4.061,6.251,5.156,False,True
tmp,4,60,0.667,0.533,0.783,0.125,False,False,1.927,-2.665,6.518,4.591,False,True
tmp,4,80,0.662,0.548,0.764,0.108,False,False,1.567,-2.232,5.367,3.8,False,True
tmp,4,100,0.68,0.579,0.77,0.095,False,False,0.386,-2.912,3.684,3.298,True,True
tmp,3,20,0.7,0.457,0.881,0.212,False,True,-3.76,-10.097,2.577,6.337,False,True
tmp,3,40,0.725,0.561,0.854,0.146,False,False,-1.22,-6.14,3.7,4.92,False,True
tmp,3,60,0.7,0.568,0.812,0.122,False,False,-0.757,-4.778,3.264,4.021,True,True
tmp,3,80,0.712,0.6,0.808,0.104,False,False,-0.86,-4.144,2.424,3.284,True,True
tmp,3,100,0.72,0.621,0.805,0.092,False,False,-0.732,-3.679,2.215,2.947,True,True
tmp,2,20,0.7,0.457,0.881,0.212,False,True,-0.19,-5.6,5.22,5.41,False,True
tmp,2,40,0.75,0.588,0.873,0.143,False,False,-0.645,-4.58,3.29,3.935,True,True
tmp,2,60,0.733,0.603,0.839,0.118,False,False,0.3,-2.877,3.477,3.177,True,True
tmp,2,80,0.738,0.627,0.83,0.101,False,False,-0.235,-3.393,2.923,3.158,True,True
tmp,2,100,0.75,0.653,0.831,0.089,False,False,0.184,-2.512,2.88,2.696,True,True
tmp,1,20,0.7,0.457,0.881,0.212,False,True,0.65,-6.747,8.047,7.397,False,True
tmp,1,40,0.725,0.561,0.854,0.146,False,False,-0.165,-5.035,4.705,4.87,False,True
tmp,1,60,0.683,0.55,0.797,0.123,False,False,-0.263,-4.211,3.684,3.948,True,True
tmp,1,80,0.662,0.548,0.764,0.108,False,False,-0.955,-4.284,2.374,3.329,True,True
tmp,1,100,0.67,0.569,0.761,0.096,False,False,-1.35,-4.076,1.376,2.726,True,True
tmp,0,20,0.7,0.457,0.881,0.212,False,True,-1.31,-6.77,4.15,5.46,False,True
tmp,0,40,0.75,0.588,0.873,0.143,False,False,0.355,-4.33,5.04,4.685,False,True
tmp,0,60,0.733,0.603,0.839,0.118,False,False,-1.127,-4.751,2.498,3.624,True,True
tmp,0,80,0.688,0.574,0.787,0.106,False,False,-0.408,-3.759,2.944,3.352,True,True
tmp,0,100,0.68,0.579,0.77,0.095,False,False,-1.786,-4.937,1.365,3.151,True,True
